"","city","count","coordinates.lon","coordinates.lat","lon","lat"
"1","#201, Sunnyvale", 2,NA,NA,NA,NA
"2","10099 Main St, Bothell", 1,-122.20545,  47.76011,-122.20545,47.76011
"3","1841 Neil Ave, Columbus", 3, -83.01703,  39.99868, -83.01703,39.99868
"4","26th Floor, Boston", 2, -71.05630,  42.35883, -71.05630,42.35883
"5","350 S 5th St, Minneapolis", 3, -93.26524,  44.97728, -93.26524,44.97728
"6","6015 W 250 S, Tipton", 2, -86.13471,  40.26750, -86.13471,40.26750
"7","8801 Sudley Rd, Manassas", 1, -77.48109,  38.76592, -77.48109,38.76592
"8","Acton", 2, -71.43284,  42.48509, -71.43284,42.48509
"9","Albuquerque", 4,-106.65042,  35.08439,-106.65042,35.08439
"10","Alexandria", 3, -77.04692,  38.80484, -77.04692,38.80484
"11","Aliso Viejo", 2,-117.72630,  33.56846,-117.72630,33.56846
"12","Allison Park", 1, -79.95921,  40.55948, -79.95921,40.55948
"13","Alpharetta", 1, -84.29409,  34.07538, -84.29409,34.07538
"14","Arlington", 7, -77.10677,  38.87997, -77.10677,38.87997
"15","Armonk", 1, -73.71402,  41.12648, -73.71402,41.12648
"16","Ashburn", 2, -77.48744,  39.04376, -77.48744,39.04376
"17","Ashley", 3, -80.91794,  35.07310, -80.91794,35.07310
"18","Atlanta",23, -84.38798,  33.74900, -84.38798,33.74900
"19","Auburndale", 2, -81.78869,  28.06530, -81.78869,28.06530
"20","Augusta", 1, -82.01051,  33.47350, -82.01051,33.47350
"21","Aurora", 1,-104.83192,  39.72943,-104.83192,39.72943
"22","Austin",17, -97.74306,  30.26715, -97.74306,30.26715
"23","Beaverton", 2,-122.80138,  45.48888,-122.80138,45.48888
"24","Bedford", 2, -71.27601,  42.49062, -71.27601,42.49062
"25","Bedminster", 1, -74.68040,  40.66926, -74.68040,40.66926
"26","Bellevue", 8,-122.20152,  47.61015,-122.20152,47.61015
"27","Bentonville", 1, -94.20882,  36.37285, -94.20882,36.37285
"28","Beverly", 2, -70.88005,  42.55843, -70.88005,42.55843
"29","Birmingham", 2, -86.81036,  33.51859, -86.81036,33.51859
"30","Bloomfield", 2, -74.18542,  40.80675, -74.18542,40.80675
"31","Bloomington", 1, -86.52639,  39.16533, -86.52639,39.16533
"32","Boca Raton", 1, -80.12893,  26.36831, -80.12893,26.36831
"33","Boise", 1,-116.20231,  43.61502,-116.20231,43.61502
"34","Boston",21, -71.05888,  42.36008, -71.05888,42.36008
"35","Boulder", 2,-105.27055,  40.01499,-105.27055,40.01499
"36","Boyers", 2, -79.89894,  41.10839, -79.89894,41.10839
"37","Brentwood", 1,-121.69579,  37.93187,-121.69579,37.93187
"38","Brooklyn", 1, -73.94416,  40.67818, -73.94416,40.67818
"39","Brothers", 1, -89.79992,  35.21660, -89.79992,35.21660
"40","Burlingame", 2,-122.34809,  37.57787,-122.34809,37.57787
"41","Burlington", 1, -73.21207,  44.47588, -73.21207,44.47588
"42","Business: Mezz. 10, My google address is lljs1108@gmail.com, Detroit", 1, -83.04575,  42.33143, -83.04575,42.33143
"43","Cambridge", 9, -71.10973,  42.37362, -71.10973,42.37362
"44","Campbell", 1,-121.94996,  37.28717,-121.94996,37.28717
"45","Carlsbad", 3,-117.35059,  33.15809,-117.35059,33.15809
"46","Chandler", 3,-111.84125,  33.30616,-111.84125,33.30616
"47","Chantilly", 2, -77.43110,  38.89428, -77.43110,38.89428
"48","Charlotte", 7, -80.84313,  35.22709, -80.84313,35.22709
"49","Charlottesville", 1, -78.47668,  38.02931, -78.47668,38.02931
"50","Chesterfield", 1, -90.57707,  38.66311, -90.57707,38.66311
"51","Chevy Chase", 1, -77.07887,  38.96928, -77.07887,38.96928
"52","Chicago",21, -87.62980,  41.87811, -87.62980,41.87811
"53","Cincinnati", 2, -84.51202,  39.10312, -84.51202,39.10312
"54","Clayton", 1,-121.93579,  37.94103,-121.93579,37.94103
"55","College Park", 3, -76.93776,  38.98970, -76.93776,38.98970
"56","Collierville", 1, -89.66453,  35.04204, -89.66453,35.04204
"57","Columbia", 3, -81.03481,  34.00071, -81.03481,34.00071
"58","Columbus", 4, -82.99879,  39.96118, -82.99879,39.96118
"59","Conshohocken", 2, -75.30157,  40.07928, -75.30157,40.07928
"60","Coral Gables", 1, -80.26354,  25.74920, -80.26354,25.74920
"61","Costa Mesa", 1,-117.90474,  33.66384,-117.90474,33.66384
"62","Crystal Bay", 1,-120.00471,  39.22783,-120.00471,39.22783
"63","Culver City", 2,-118.39647,  34.02112,-118.39647,34.02112
"64","Cupertino", 7,-122.03218,  37.32300,-122.03218,37.32300
"65","Dallas", 9, -96.79699,  32.77666, -96.79699,32.77666
"66","Danbury", 1, -73.45401,  41.39482, -73.45401,41.39482
"67","Danville", 2, -79.39502,  36.58597, -79.39502,36.58597
"68","Dearborn", 1, -83.17631,  42.32226, -83.17631,42.32226
"69","Deer Park", 1, -95.12382,  29.70523, -95.12382,29.70523
"70","Denver",16,-104.99025,  39.73924,-104.99025,39.73924
"71","Des Moines", 1, -93.62496,  41.58684, -93.62496,41.58684
"72","Detroit", 4, -83.04575,  42.33143, -83.04575,42.33143
"73","Dillwyn", 2, -78.45722,  37.54293, -78.45722,37.54293
"74","District of Freedom#8573311~!#, Washington",18,NA,NA,NA,NA
"75","Draper", 1,-111.86382,  40.52467,-111.86382,40.52467
"76","Dublin", 2, -83.11408,  40.09923, -83.11408,40.09923
"77","Durham", 5, -78.89862,  35.99403, -78.89862,35.99403
"78","Edison", 2, -74.41210,  40.51872, -74.41210,40.51872
"79","Edwards AFB", 1,-117.89121,  34.92403,-117.89121,34.92403
"80","Egg Harbor Township", 2, -74.61662,  39.38225, -74.61662,39.38225
"81","Ellicott City", 1, -76.79831,  39.26733, -76.79831,39.26733
"82","Englewood", 3,-104.98776,  39.64777,-104.98776,39.64777
"83","Ewing Township", 1, -74.79091,  40.25999, -74.79091,40.25999
"84","Excelsior Springs", 1, -94.22606,  39.33917, -94.22606,39.33917
"85","Falls Church", 1, -77.17109,  38.88233, -77.17109,38.88233
"86","Fayetteville", 3, -78.87836,  35.05266, -78.87836,35.05266
